id,name,carbs,fiber,sugar,fat,protien,glycamic_index,meal_type,meal_for,image_link,description,
1,Almond Butter and Celery Sticks,5,3,1,7,2,0,snack,veg,http://drive.google.com/uc?export=view&id=1m6T2HVyKRxJO_ktNU0zasi5BqWqhx8jO,"A classic snack featuring the creamy richness of almond butter paired with the crunch of celery sticks. It's a satisfying combination of flavors and textures that offers a balance of protein. healthy fats and fiber.",
2,Almonds,5,3,1,14,6,0,snack,veg,http://drive.google.com/uc?export=view&id=1OuQlUlPhi4Lgnuwx61xoZVyJO2ZKBbru,"Almonds are a nutritious snack packed with healthy fats protein. and fiber. They provide a satisfying crunch and are a great source of vitamin E. magnesium. and antioxidants.",
3,Apple,25,4,19,0.5,0.5,53,snack,veg,http://drive.google.com/uc?export=view&id=1qaSTyG51q4vql55r2bW1X-GxDnaxn7ej,"A crisp and refreshing fruit that's naturally sweet with a hint of tartness. Apples are rich in fiber and vitamin C. making them a healthy snack choice that can help keep you feeling full and satisfied.",
4,Avocado,2,2,1,15,2,15,snack,veg,http://drive.google.com/uc?export=view&id=1dqNWAYrg9knug7tKBZani4pxekS0Ch80,"Creamy and versatile avocados are a nutrient-dense fruit loaded with heart-healthy monounsaturated fats fiber and vitamins. They add a deliciously smooth texture to salads sandwiches and wraps.",
5,Avocado and Tomato Salad,10,5,2,15,3,20,lunch,veg,http://drive.google.com/uc?export=view&id=15iu0497wyfNCBRGzby2kPYnWGjliUWl1,"A vibrant and flavorful salad featuring ripe avocado slices and juicy tomato wedges. This simple yet satisfying dish is drizzled with a tangy vinaigrette and sprinkled with fresh herbs for a burst of freshness in every bite.",
6,Baked Eggplant Parmesan,20,5,4,6,15,50,dinner,veg,http://drive.google.com/uc?export=view&id=1zIVelLaGsvHjTokrIrLJTurTggdR5z2u,"A healthier twist on a classic Italian dish this baked eggplant parmesan features tender slices of eggplant layered with marinara sauce melted mozzarella cheese and Parmesan breadcrumbs. It's a comforting and satisfying meal that's perfect for vegetarians and meat-lovers alike.",
7,Baked Fish with Lemon and Herbs,0,0,0,5,25,10,dinner,non-veg,http://drive.google.com/uc?export=view&id=1YYSzTf_uwrkSjeBxCm_1ouGr53Nm5VHo,"Light and flavorful this baked fish dish is seasoned with zesty lemon fragrant herbs and a touch of olive oil. It's a simple yet elegant meal that's quick to prepare and perfect for a weeknight dinner.",
8,Baked Zucchini Chips,20,4,2,6,3,30,snack,veg,http://drive.google.com/uc?export=view&id=1IS3wBAaGjMlQJg2XLqEB5rXNwCgjYyAo,"Crispy and flavorful these baked zucchini chips are a healthier alternative to traditional potato chips. Thinly sliced zucchini is seasoned with herbs and spices then baked until golden brown and crunchy.",
9,Banana,30,3,20,0.5,1,55,snack,veg,http://drive.google.com/uc?export=view&id=1D-qdcqVW-F7Evh623SyA02wb3qraZ-CI,"A naturally sweet and creamy fruit that's rich in potassium vitamin C and fiber. Bananas are a convenient and nutritious snack that can help satisfy hunger and provide a quick energy boost.",
10,Berry and Spinach Smoothie,25,5,15,3,5,50,snack,veg,http://drive.google.com/uc?export=view&id=1uVRlFFBSxIluojo45FcmGD8vXSbEiuel,"A refreshing and nutrient-packed smoothie featuring a blend of mixed berries fresh spinach and creamy Greek yogurt. It's a delicious way to sneak in some extra greens and antioxidants while satisfying your sweet tooth.",
11,Bison Burger with Lettuce Wrap,5,1,1,8,30,45,lunch,non-veg,http://drive.google.com/uc?export=view&id=1Awr26F8HvOWcSCtltJRSR3oEt4WwFtcc,"A lean and flavorful alternative to beef bison burgers are grilled to perfection and served in crisp lettuce wraps. Topped with your favorite condiments and veggies it's a satisfying and protein-packed meal that's low in carbs and calories.",
