id,meal_type,preference_type,meals_name,cal,carb,proteins,fat,recipe,glycemic_index,diabetics_level,image_link
1,Breakfast,veg,Greek Yogurt Parfait,313,25,27,13,"1 cup 2% plain Greek yogurt,1/2-ounce chopped almonds,1/4-cup unsweetened whole-grain cereal,1/2 cup blueberries",45,low,https://foolproofliving.com/wp-content/uploads/2017/12/Greek-Yogurt-Parfait-Recipe.jpg
2,Snack,veg,Almonds and Apple,153,17,8,7,"15 almonds,1 large peach",50,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrybrY1v9I2mDTBhm3j15cypM42yR17UlG1Q&s
3,Lunch,non-veg,Salmon Caesar Salad Pita,521,40,27,29,"One 6-inch whole wheat pita bread,2 cups romaine lettuce,3 ounces grilled salmon,2 tablespoons Caesar dressing",15,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdlgBfWooIocoi1rpA_KnFdL7p07vw5tTVLQ&s
4,Snack,veg,Almonds and Apple,210,29,5,10,"15 almonds,1 apple",45,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrybrY1v9I2mDTBhm3j15cypM42yR17UlG1Q&s
5,Dinner,non-veg,Chicken StirFry,567,44,28,32,"4 ounces chicken breast,1/2 cup broccoli,1 red bell pepper,1 tablespoon olive oil,2 tablespoons peanut sauce,1/2 cup cooked brown rice",0,high,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6ba4QHI6UpD9qchErdmWBlV3h_rpq-y1d_Q&s
6,Snack,veg,Banana and Almond Butter,302,33,8,18,"1 banana,2 tablespoons almond butter",40,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRigBTTWVNV4j1FFnWONK_li8NT7TyaH8PReQ&s
7,Breakfast,veg,Avocado Toast with Poached Egg,335,27,13,21,"One slice 100% whole wheat bread,One poached egg,1/2 medium avocado,One tomato,sliced",0,high,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRE-ldtWvyynZbtq5W_CiYi96QxLJ61WyP8gQ&s
8,Snack,veg,Greek Yogurt with Berries,180,20,10,5,"1 cup 2% Greek yogurt,Mixed berries",55,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQEkOj1slb1K0xhbaJrzVJxk8psK_mNGMJJA&s
9,Lunch,non-veg,Greek Salad with Grilled Shrimp,415,39,22,21,"2 cups romaine lettuce,1/2 cup chopped tomato,1/2 cup chopped cucumber,1/4 cup black olives,1/4 cup feta cheese,1/2 cup chickpeas,5 large grilled shrimp,2 tablespoons balsamic vinaigrette",45,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGcwjbmBA8VHcLWCKEMHS3_8GGeM5EPTvLTQ&s
10,Snack,veg,Apple and Peanut Butter,266,28,8,16,"1 small apple,2 tablespoons peanut butter",0,high,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoA6v-ViLQLyHWE1QGjxRct1Wp2UrmyVde1A&s
11,Dinner,non-veg,Grilled Salmon with Sweet Potato and Asparagus,489,29,31,28,"4 ounces grilled salmon,1 medium baked sweet potato,10 asparagus spears,1 tablespoon olive oil",15,moderate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5kiCqlmq3H4ryI3UyCjhA9Lhlk7XSuTc0Ew&s
12,Breakfast,veg,Oatmeal with Peanut Butter and Strawberries,300,29,11,18,"1/2 cup oatmeal,2 tablespoons peanut butter,5 large strawberries",10,moderate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFDYvXwyipUb5JShS6HTztFxskCfkNpgM-OQ&s
13,Snack,veg,Greek Yogurt with Cherries and Walnuts,277,23,23,12,"1 cup 2% Greek yogurt,10 cherries,6 walnut halves",36,moderate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlbFBlTFWjlwklP1iLG8tGHtbfK9jK5wsnNA&s
14,Lunch,non-veg,Turkey Wrap,342,33,21,15,"One 8-inch whole wheat wrap,4 ounces sliced turkey,1/4 avocado,2 slices tomato",22,moderate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8sIP1TZm84fgDq6p2wKeQsUTW2cSbEXUXcg&s
15,Snack,veg,Cucumber with Tzatziki and Pita Chips,236,30,7,10,"1 cup cucumber slices,1/4 cup tzatziki dip,1/4 cup black olives,1 ounce pita chips",5,high,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyw1cvCNF_r-uwlkxo_Vxdcig5OfsBcRmJpA&s
16,Dinner,veg,Tofu Teriyaki with Brown Rice and Broccoli,491,58,20,21,"4 ounces tofu,1 cup brown rice,1/2 cup broccoli,1 tablespoon olive oil,2 tablespoons teriyaki sauce",46,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0ZmyEj7back813tFveIZE56AXnfBL9dYqOw&s
17,Snack,veg,Whole Milk Ice Cream,273,5,31,15,"1 cup regular whole milk ice cream",44,low,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSILm8rcrZqkNcDtHGNQiDwRYWxYYOEzhfA1g&s
18,Lunch,veg,Mango Curry,200,30,2,8,"mangoes cooked in a mildly spicy curry sauce with turmeric, fenugreek, mustard seeds, and coconut milk.",45,low,
19,Dinner,non-veg,Spicy Grilled Chicken,350,5,40,20,"Chicken marinated in Sri Lankan spices including cumin, coriander, and paprika, grilled until crisp.",20,low,
20,Breakfast,veg,Kiri Bath with Lunu Miris,300,40,6,10,"Rice cooked in coconut milk until creamy, traditionally served during special occasions, recommended with a spicy side such as lunu miris.",55,moderate,
21,Lunch,veg,Kos Ata Mallum,100,15,3,4,"Finely chopped tender jackfruit leaves mixed with grated coconut, green chilies, and seasoned with lemon juice.",30,moderate,
22,lunch,veg,Vegetable Biriyani,350,55,8,10,"Basmati rice cooked with carrots, beans, peas, and bell peppers, flavored with biryani masala and saffron.",55,low,
